DOWN,12343,-4570,-6069,443,168,-252,12465,-4819,-6046,336,0,-253,12528,-5143,-6097,108,-171,-267,12521,-4958,-6097,-145,-339,-280,12487,-4506,-6178,-186,-516,-251,12406,-4491,-6304,-144,-697,-255,12236,-4806,-6499,-176,-864,-279,11998,-5085,-6673,-371,-1005,-306,11774,-4722,-6757,-558,-1116,-292,11659,-4395,-6864,-629,-1224,-281,11492,-4298,-7026,-682,-1332,-312,11319,-4161,-7185,-773,-1439,-327,11124,-3870,-7427,-876,-1546,-311,10952,-3578,-7735,-951,-1659,-314,10711,-3289,-8151,-992,-1765,-344,10457,-3114,-8537,-1058,-1860,-369,10105,-2872,-8873,-1172,-1957,-385,9681,-2466,-9224,-1274,-2062,-397,9257,-2002,-9768,-1313,-2160,-407,8989,-1724,-10383,-1327,-2253,-410,8622,-1573,-10961,-1360,-2333,-418,8115,-1368,-11561,-1407,-2396,-445,7760,-1103,-12256,-1449,-2445,-468,7519,-759,-12989,-1463,-2485,-477,7176,-502,-13789,-1418,-2515,-494,6747,-439,-14548,-1395,-2515,-527,6354,-320,-15275,-1430,-2487,-550,6042,47,-15906,-1456,-2440,-561,5767,458,-16505,-1397,-2393,-565,5455,702,-17054,-1289,-2339,-577,5105,738,-17472,-1230,-2263,-590,4867,882,-17814,-1230,-2168,-597,4691,1233,-18072,-1185,-2077,-588,4478,1585,-18340,-1049,-1994,-576,4221,1642,-18550,-901,-1901,-570,3962,1542,-18717,-830,-1788,-565,3758,1650,-18760,-821,-1666,-549,3637,1977,-18781,-763,-1557,-525,3544,2184,-18842,-627,-1463,-508,3385,2145,-18887,-505,-1362,-498,3205,2116,-18868,-448,-1252,-488,3074,2234,-18824,-412,-1144,-475,2949,2445,-18723,-335,-1048,-454,2823,2517,-18604,-230,-959,-435,2685,2471,-18477,-153,-873,-421,2610,2454,-18340,-125,-790,-404,2545,2543,-18175,-100,-715,-382,2470,2636,-18024,-47,-652,-358,2405,2639,-17837,17,-598,-338,2365,2614,-17687,67,-551,-321,2322,2542,-17569,92,-508,-307,2276,2509,-17477,95,-465,-295,2230,2538,-17373,108,-425,-278,2191,2573,-17300,143,-393,-258,2119,2493,-17250,182,-367,-245,2054,2369,-17203,190,-340,-239,2040,2325,-17141,179,-312,-230,2008,2348,-17091,189,-291,-220,1967,2325,-17054,215,-276,-217,1905,2255,-17026,228,-262,-211
UP,225,881,-20966,-6,-407,-352,224,853,-21370,-3,-182,-273,230,784,-21725,11,69,-194,304,704,-21990,17,322,-116,522,619,-22422,13,575,-52,588,697,-22793,17,839,-3,581,801,-22784,29,1095,34,565,888,-22559,-2,1328,62,518,1063,-22238,-61,1555,90,559,1357,-21881,-74,1778,125,579,1629,-21407,12,1980,156,678,1770,-20827,156,2155,178,819,1818,-20262,298,2303,193,965,1776,-19651,417,2429,192,1177,1699,-18946,491,2536,182,1436,1698,-18271,562,2625,175,1698,1669,-17630,658,2701,163,2040,1549,-16997,754,2761,148,2386,1405,-16326,817,2796,130,2785,1172,-15681,833,2811,109,3273,993,-15040,805,2805,96,3729,911,-14422,790,2778,91,4176,750,-13765,794,2741,85,4704,569,-13197,786,2687,87,5194,406,-12681,777,2618,90,5679,219,-12131,774,2536,96,6192,38,-11650,759,2446,110,6667,-123,-11210,752,2346,125,7123,-322,-10751,752,2239,140,7591,-587,-10303,728,2124,152,8011,-823,-9865,668,1985,164,8397,-990,-9483,595,1838,178,8768,-1132,-9140,538,1696,199,9134,-1326,-8810,491,1551,215,9517,-1507,-8583,440,1399,222,9865,-1671,-8459,400,1249,219,10174,-1844,-8382,365,1105,206,10493,-2029,-8367,322,969,182,10749,-2178,-8367,268,839,151,11033,-2257,-8450,210,714,118,11210,-2296,-8550,171,600,81,11409,-2368,-8666,141,495,43,11626,-2400,-8816,98,390,7,11767,-2347,-9045,72,292,-26,11875,-2272,-9298,85,209,-54,11983,-2258,-9529,110,139,-79,12080,-2267,-9782,118,76,-100,12141,-2269,-10038,114,25,-120,12210,-2278,-10273,92,-21,-137,12259,-2227,-10506,67,-60,-150,12307,-2156,-10741,67,-90,-156,12332,-2118,-10925,89,-112,-156,12370,-2142,-11062,104,-130,-153,12400,-2167,-11215,111,-142,-147,12435,-2189,-11353,118,-148,-144,12445,-2210,-11433,122,-150,-144,12457,-2219,-11495,124,-149,-145,12457,-2220,-11545,127,-145,-148,12466,-2215,-11539,130,-142,-149,12485,-2205,-11551,133,-141,-149
WAVE,10548,1491,-15780,397,313,169,10383,1388,-15586,490,657,196,10200,1242,-15075,580,1016,223,9980,1075,-14121,668,1359,206,9818,952,-12774,798,1670,147,9782,727,-11094,974,1905,29,9976,459,-9199,1106,2010,-126,10484,268,-7338,1176,1971,-233,11184,98,-5830,1158,1734,-304,11519,-77,-5514,1119,1363,-366,11484,-132,-5908,1089,981,-367,11397,196,-6203,953,557,-362,11855,288,-6244,766,51,-325,12262,2,-6492,410,-525,-240,12554,-59,-7172,46,-1085,-141,12611,-110,-8644,-194,-1557,-40,12794,-94,-10274,-388,-1918,35,12824,-239,-11988,-620,-2158,100,12602,-373,-13859,-978,-2236,128,12330,98,-15599,-1324,-2143,156,12073,607,-16440,-1528,-1927,184,11587,1175,-17466,-1564,-1598,214,11319,1696,-18021,-1404,-1191,256,11018,1673,-18009,-1296,-779,266,10702,1599,-17383,-1335,-401,257,10181,1841,-16334,-1413,-71,269,9525,2415,-15007,-1290,275,306,9059,2720,-13515,-944,616,320,8863,2664,-11931,-505,909,320,8907,2374,-10164,-33,1131,291,9172,1899,-8460,414,1236,235,9704,1327,-6989,786,1202,147,10456,680,-5896,1085,1030,51,11045,119,-5227,1216,729,-32,11578,-94,-5068,1247,342,-67,11782,-190,-5778,1421,-51,-91,11583,-65,-7509,1616,-412,-89,11684,-327,-9177,1695,-733,-95,12099,-486,-10752,1334,-1017,-10,12369,-335,-11968,1021,-1216,40,12336,-834,-12917,730,-1377,43,11894,-736,-14659,366,-1358,83,11628,-391,-16072,263,-1176,94,11428,-418,-16947,128,-909,70,11201,-381,-17475,-110,-587,43,10971,-60,-17709,-365,-219,18,10696,206,-17433,-480,140,-14,10403,344,-16775,-522,476,-31,10064,562,-15804,-516,802,-28,9769,751,-14489,-401,1113,-39,9649,801,-12929,-186,1377,-57,9724,732,-11291,71,1562,-76,9924,682,-9594,322,1639,-91,10344,685,-7965,590,1581,-115,10864,547,-6594,865,1384,-145,11345,77,-5711,1076,1073,-207,11932,-427,-5167,1002,651,-199,12118,-475,-5366,780,175,-133,11953,258,-6731,826,-200,-41,11872,554,-8465,1020,-476,30
DOWN,10177,-6085,-5230,1282,569,246,10079,-6045,-4850,1038,439,165,9962,-5987,-4475,815,301,100,9845,-5898,-4222,587,154,41,9814,-5722,-3987,350,-17,9,9725,-5566,-3850,145,-209,1,9596,-5451,-3772,-39,-405,-7,9565,-5423,-3799,-269,-618,-27,9535,-5263,-3949,-551,-841,-36,9483,-4983,-4120,-781,-1070,-33,9346,-4784,-4341,-950,-1312,-24,9323,-4733,-4699,-1152,-1565,-24,9282,-4662,-5153,-1402,-1827,-29,9149,-4425,-5689,-1659,-2101,-26,8933,-4148,-6329,-1831,-2361,-39,8892,-4158,-7268,-1937,-2607,-46,8726,-4107,-8279,-2038,-2808,-61,8464,-4019,-9353,-2088,-2972,-87,8292,-4147,-10534,-2134,-3091,-125,8076,-4153,-11665,-2204,-3169,-170,7840,-4036,-12718,-2240,-3204,-225,7626,-3984,-13727,-2232,-3202,-279,7325,-3919,-14583,-2212,-3165,-330,6982,-3798,-15317,-2182,-3093,-391,6775,-3691,-16028,-2175,-2992,-455,6540,-3436,-16671,-2174,-2869,-510,6336,-3087,-17147,-2126,-2738,-564,6050,-2635,-17515,-1951,-2663,-639,5650,-2614,-17853,-1810,-2504,-698,5428,-2403,-18113,-1787,-2335,-682,5245,-2002,-18248,-1650,-2193,-669,5029,-1856,-18327,-1484,-2053,-648,4817,-1728,-18375,-1335,-1902,-640,4683,-1586,-18401,-1222,-1756,-621,4516,-1354,-18414,-1122,-1612,-602,4324,-1110,-18417,-1014,-1467,-581,4150,-903,-18343,-902,-1331,-549,3993,-739,-18243,-804,-1199,-507,3866,-554,-18144,-716,-1073,-462,3735,-413,-18056,-628,-955,-418,3608,-278,-17934,-555,-842,-380,3517,-162,-17793,-502,-739,-349,3444,-28,-17629,-452,-646,-311,3360,94,-17509,-391,-564,-272,3265,173,-17390,-331,-491,-238,3184,226,-17277,-294,-424,-213,3104,320,-17150,-266,-363,-191,3054,368,-17051,-233,-311,-170,3029,411,-16943,-201,-267,-150,2999,432,-16870,-170,-230,-133,2969,442,-16810,-139,-201,-117,2953,475,-16749,-112,-175,-105,2944,490,-16692,-92,-155,-99,2933,517,-16648,-76,-136,-96,2925,556,-16610,-55,-119,-91,2932,576,-16590,-30,-104,-82,2918,581,-16559,-8,-92,-73,2909,571,-16526,8,-81,-68,2923,564,-16507,23,-71,-64,2942,549,-16504,40,-61,-63
HELLO,14989,-1898,-8889,415,-206,-21,14845,-2388,-9533,547,-126,-59,14682,-3027,-10059,688,17,-160,14527,-3790,-10420,732,209,-341,14360,-4475,-10647,611,430,-599,14161,-4790,-10733,390,674,-891,13982,-4769,-10590,152,936,-1206,13838,-4466,-10196,-69,1207,-1521,13758,-4003,-9604,-359,1466,-1827,13693,-3215,-8684,-711,1693,-2100,13785,-2004,-7386,-1070,1875,-2302,14122,-549,-5921,-1333,1994,-2386,14479,884,-4441,-1430,2027,-2358,14894,2332,-3001,-1321,1945,-2215,15330,3595,-1674,-1094,1743,-1992,15707,4609,-516,-850,1428,-1698,15947,5281,210,-629,1035,-1359,16062,5713,558,-429,609,-994,16079,6008,617,-238,175,-616,15994,6130,478,-26,-247,-232,15791,6063,121,206,-646,154,15538,5807,-391,440,-1008,540,15214,5364,-1083,646,-1325,910,14844,4653,-1877,853,-1581,1242,14449,3771,-2864,1088,-1756,1526,14060,2589,-3962,1333,-1835,1750,13682,985,-5315,1587,-1793,1873,13328,-993,-6610,1766,-1626,1840,12974,-3013,-7601,1740,-1373,1629,12714,-4783,-8507,1485,-1054,1244,12487,-5913,-9072,1066,-703,742,12320,-6263,-9286,643,-344,213,12238,-6117,-9342,335,18,-291,12202,-5860,-9096,110,374,-766,12259,-5440,-8576,-146,710,-1209,12358,-4676,-7883,-477,1028,-1596,12545,-3488,-6970,-861,1309,-1899,12898,-1995,-5923,-1259,1536,-2108,13349,-286,-4767,-1485,1695,-2192,13868,1028,-3555,-1511,1753,-2178,14333,2350,-2169,-1404,1702,-2049,14821,3581,-770,-1227,1533,-1825,15247,4654,411,-997,1247,-1530,15548,5297,1230,-781,867,-1198,15716,5737,1763,-598,430,-845,15753,6018,1985,-416,-28,-479,15684,6063,1869,-233,-478,-104,15516,5867,1419,-52,-898,260,15257,5506,745,132,-1275,599,14936,5055,-65,342,-1594,918,14572,4443,-1145,614,-1833,1217,14131,3452,-2594,976,-1948,1470,13695,2012,-3986,1399,-1936,1637,13262,192,-5242,1720,-1800,1671,12820,-1648,-6277,1773,-1575,1563,12592,-3459,-7332,1556,-1293,1276,12509,-4753,-8179,1143,-974,852,12465,-5325,-8713,722,-636,383,12495,-5391,-8952,398,-282,-85,12632,-5171,-8895,172,69,-523
HELLO,15565,6475,-4159,-285,-608,162,15445,7011,-3777,-389,-754,299,15263,7419,-3514,-452,-977,497,15032,7523,-3572,-367,-1219,721,14763,7199,-4054,-101,-1412,944,14613,6282,-4977,320,-1501,1118,14736,4955,-6136,873,-1385,1172,14846,3480,-7245,1466,-1101,1110,14983,1639,-8349,1759,-776,884,15059,4,-9340,1543,-468,513,15035,-886,-9787,1086,-165,40,14962,-1186,-9766,622,145,-470,14809,-929,-9201,179,436,-954,14517,-168,-8414,-290,681,-1343,14236,1131,-7553,-781,875,-1585,14070,2816,-6284,-1159,1001,-1692,13848,4803,-4622,-1211,1020,-1669,13698,6512,-2919,-917,896,-1499,13617,7695,-1739,-547,632,-1194,13539,8356,-1140,-203,280,-809,13518,8468,-990,72,-110,-394,13449,8185,-1225,261,-502,25,13352,7516,-1886,427,-846,412,13418,6168,-3059,654,-1078,712,13633,4625,-4449,1119,-1104,861,13938,2823,-5760,1728,-920,866,14243,971,-6857,2070,-704,683,14505,-867,-8044,1799,-517,333,14629,-1671,-8650,1206,-332,-138,14622,-1614,-8734,587,-128,-626,14603,-912,-8235,-15,68,-1080,14462,269,-7347,-635,251,-1406,14298,1874,-6243,-1144,405,-1582,13864,4017,-4752,-1277,471,-1628,13491,6080,-3130,-960,393,-1511,13234,7663,-1891,-486,164,-1215,13041,8634,-1298,28,-142,-807,12937,8885,-1293,463,-463,-345,12843,8535,-1769,755,-764,125,12824,7670,-2666,926,-998,552,13087,6196,-3867,1119,-1088,861,13405,4522,-5130,1442,-990,1014,13733,2783,-6192,1716,-787,1000,14007,848,-7327,1678,-572,788,14290,-617,-8209,1244,-379,419,14381,-1203,-8571,738,-184,-30,14367,-1208,-8560,294,14,-501,14309,-586,-8176,-79,198,-927,14219,725,-7553,-370,367,-1257,14109,2298,-6870,-650,500,-1448,13829,3944,-6017,-979,576,-1481,13527,5687,-4622,-1166,543,-1371,13312,7183,-3156,-983,388,-1127,13164,8159,-2115,-601,119,-762,13021,8467,-1816,-221,-217,-329,12925,8503,-1864,93,-586,140,12822,8074,-2227,295,-951,593,12826,7208,-2944,459,-1240,991,13021,5879,-4042,695,-1375,1278,13294,4275,-5363,1093,-1307,1414
UNLOCK,10362,-576,-13297,479,58,217,10511,-773,-13294,442,25,218,10655,-990,-13248,417,-10,209,10825,-1092,-13155,398,-55,200,11012,-1080,-13042,387,-114,199,11242,-1106,-12885,403,-194,205,11521,-1356,-12793,411,-282,211,11918,-1774,-12744,403,-366,201,12355,-2116,-12749,390,-457,172,12525,-2202,-12956,386,-539,147,12611,-2323,-13152,431,-615,118,12814,-2506,-13193,487,-694,57,12992,-2706,-13155,567,-792,-32,13038,-2933,-13185,638,-911,-143,12988,-3112,-13248,709,-1053,-262,12795,-3122,-13431,743,-1202,-393,12527,-3084,-13523,795,-1376,-560,12098,-3100,-13630,867,-1580,-748,11442,-3085,-13785,912,-1791,-953,10571,-3041,-13982,962,-2006,-1188,9451,-2893,-14150,968,-2203,-1440,8108,-2794,-14251,921,-2386,-1664,6611,-2567,-14334,784,-2539,-1886,5031,-2303,-14478,594,-2650,-2102,3536,-2111,-14596,323,-2712,-2275,2269,-2016,-14722,-43,-2709,-2406,1224,-1884,-14845,-539,-2639,-2488,390,-1812,-14931,-1182,-2512,-2521,-216,-1714,-14899,-2014,-2346,-2514,-610,-1477,-14729,-3044,-2159,-2467,-868,-1064,-14468,-4251,-1986,-2417,-969,-586,-14141,-5603,-1834,-2390,-944,121,-13336,-7032,-1730,-2421,-922,1302,-12241,-8299,-1671,-2442,-972,3294,-11079,-9181,-1637,-2457,-972,5699,-10092,-9470,-1592,-2383,-1120,7555,-9213,-9218,-1508,-2260,-1348,8831,-8405,-8655,-1400,-2125,-1476,9830,-7546,-8006,-1299,-1979,-1571,10635,-6751,-7348,-1214,-1816,-1678,11223,-6003,-6728,-1148,-1651,-1751,11839,-5352,-6141,-1091,-1504,-1774,12393,-4767,-5559,-1035,-1357,-1801,12803,-4216,-4998,-979,-1211,-1824,13154,-3763,-4475,-916,-1081,-1822,13425,-3354,-4006,-844,-969,-1811,13572,-2955,-3613,-773,-878,-1825,13743,-2560,-3287,-708,-804,-1838,13977,-2190,-2959,-643,-736,-1841,14258,-1867,-2615,-577,-674,-1819,14385,-1559,-2283,-519,-609,-1799,14389,-1272,-2033,-477,-555,-1788,14533,-1003,-1824,-444,-508,-1773,14674,-772,-1616,-407,-468,-1749,14802,-581,-1407,-368,-431,-1726,14877,-417,-1204,-330,-400,-1712,14902,-261,-1038,-298,-382,-1685,14983,-125,-901,-272,-365,-1678,15102,-11,-771,-251,-344,-1688,15166,75,-647,-230,-328
LOCK,12017,10610,-3762,-1538,-261,1324,12253,10456,-3561,-1344,-297,1220,12418,10230,-3536,-1135,-323,1085,12554,9889,-3550,-979,-341,920,12701,9549,-3562,-901,-354,736,12828,9343,-3643,-877,-355,529,12934,9248,-3719,-874,-342,304,12975,9330,-3795,-886,-312,64,13014,9520,-3835,-871,-266,-189,12953,9802,-3818,-763,-214,-453,12836,9971,-3757,-705,-145,-723,12627,10247,-3620,-717,-62,-979,12364,11035,-3438,-567,21,-1193,11998,11675,-3309,-167,131,-1407,11579,11891,-3127,124,241,-1668,10997,11882,-2942,185,353,-1930,10237,12423,-2763,229,472,-2117,9484,13256,-2732,536,621,-2240,8743,13637,-2492,960,769,-2400,7826,13763,-2343,1338,896,-2604,6920,13949,-2492,1687,1017,-2786,5993,14418,-2910,2118,1152,-2909,5033,14908,-3208,2585,1292,-2977,3984,15308,-3452,3065,1437,-3042,2997,15756,-3771,3642,1561,-3076,2164,16135,-4172,4420,1660,-3060,1580,16205,-4483,5339,1664,-2997,1152,16027,-4890,6257,1542,-2933,739,15256,-5383,7064,1324,-2877,359,14176,-6094,7598,1090,-2783,120,12922,-6841,7826,873,-2605,-102,11532,-7669,7807,698,-2382,-260,10434,-8444,7651,546,-2185,-334,9060,-9223,7385,413,-1989,-353,7731,-9983,6985,324,-1806,-429,6624,-10693,6502,263,-1631,-434,5642,-11275,6009,215,-1465,-471,4875,-11776,5551,179,-1312,-523,4189,-12253,5163,143,-1180,-565,3409,-12675,4774,112,-1065,-608,2677,-13036,4353,97,-954,-690,2101,-13366,3945,85,-856,-751,1609,-13672,3586,72,-777,-765,1137,-13968,3267,61,-706,-776,677,-14214,2966,52,-641,-795,277,-14475,2655,49,-590,-806,35,-14703,2388,44,-545,-801,-197,-14895,2157,41,-503,-783,-427,-15053,1949,40,-457,-803,-621,-15203,1770,39,-409,-811,-841,-15369,1608,37,-375,-809,-1019,-15467,1449,36,-347,-757,-1149,-15560,1305,34,-322,-759,-1232,-15647,1196,27,-302,-735,-1364,-15732,1108,17,-285,-730,-1534,-15794,1015,11,-270,-730,-1642,-15819,915,7,-257,-729,-1685,-15860,846,-2,-245,-760,-1707,-15895,813,-19,-235,-758,-1864,-15927,772,-34,-230
DOWN,10490,-8068,-5463,652,-449,-164,10274,-7936,-5160,458,-535,-194,10046,-7809,-4839,264,-644,-233,9981,-7669,-4649,41,-783,-255,9899,-7511,-4581,-185,-958,-252,9715,-7292,-4545,-370,-1150,-254,9423,-7181,-4630,-555,-1356,-277,9124,-7078,-4888,-811,-1569,-307,9022,-6801,-5197,-1071,-1795,-335,8988,-6709,-5651,-1249,-2028,-352,8904,-6803,-6224,-1409,-2256,-391,8704,-6742,-6848,-1606,-2461,-469,8521,-6412,-7568,-1808,-2639,-540,8395,-6192,-8488,-1933,-2786,-604,8150,-6104,-9543,-2017,-2895,-675,7882,-5926,-10513,-2107,-2955,-774,7693,-5605,-11402,-2200,-2970,-880,7565,-5301,-12331,-2265,-2959,-980,7383,-5085,-13289,-2304,-2910,-1066,7152,-4849,-14110,-2332,-2823,-1156,6884,-4491,-14730,-2358,-2710,-1253,6773,-4118,-15227,-2366,-2584,-1333,6600,-3717,-15697,-2349,-2465,-1380,6376,-3337,-16169,-2301,-2345,-1410,6224,-3049,-16455,-2223,-2225,-1448,6130,-2603,-16669,-2107,-2137,-1499,6003,-2302,-16915,-1971,-2038,-1509,5785,-1993,-17189,-1880,-1922,-1480,5550,-1641,-17396,-1791,-1786,-1450,5491,-1300,-17530,-1700,-1668,-1418,5396,-956,-17593,-1604,-1559,-1374,5297,-633,-17644,-1512,-1441,-1326,5174,-332,-17673,-1403,-1330,-1262,5067,-83,-17678,-1295,-1224,-1186,4975,155,-17651,-1185,-1128,-1100,4852,373,-17563,-1074,-1040,-1013,4735,551,-17507,-965,-957,-931,4618,724,-17432,-871,-879,-852,4513,874,-17370,-781,-806,-771,4405,993,-17291,-698,-740,-696,4285,1113,-17220,-622,-673,-630,4171,1226,-17161,-554,-607,-571,4066,1313,-17103,-494,-544,-519,3961,1408,-17040,-443,-483,-470,3865,1483,-16958,-393,-428,-426,3768,1567,-16894,-351,-378,-386,3686,1644,-16816,-310,-334,-346,3617,1688,-16747,-268,-295,-311,3544,1730,-16684,-236,-260,-283,3491,1787,-16627,-212,-229,-257,3428,1837,-16584,-189,-201,-232,3382,1884,-16527,-165,-177,-208,3364,1904,-16469,-135,-155,-190,3345,1916,-16415,-114,-136,-178,3337,1929,-16359,-95,-119,-168,3321,1944,-16344,-79,-105,-161,3312,1957,-16281,-61,-93,-155,3320,1986,-16236,-40,-86,-150,3318,1992,-16220,-20,-82,-150,3343,1992,-16189,-6,-78,-151
WAVE,1745,3712,-23214,812,-1124,344,1232,3805,-24075,962,-1001,374,600,3950,-24664,1070,-808,398,-218,4066,-25162,1206,-483,430,-1089,3961,-25341,1333,-33,468,-1913,3611,-25082,1415,523,482,-2675,3152,-24299,1427,1149,482,-3338,2735,-22988,1393,1809,463,-3739,2375,-21166,1361,2464,429,-3778,1941,-18761,1309,3047,390,-3350,1471,-15803,1209,3471,332,-2424,1148,-12677,1102,3685,250,-1195,1052,-10170,1079,3676,158,-159,1050,-8813,1002,3594,63,225,1190,-8588,975,3673,0,106,1547,-8031,1021,3842,134,1381,1028,-7159,962,3616,73,2296,675,-5812,688,3196,-35,3308,206,-4582,315,2602,-116,4194,305,-4051,43,1934,-133,4923,308,-3952,-40,1219,-165,5576,137,-4046,-72,437,-212,5970,-51,-4615,-224,-389,-279,6044,38,-5999,-518,-1195,-357,6101,172,-7590,-867,-1963,-451,6084,302,-9577,-1213,-2678,-574,5836,687,-11896,-1397,-3223,-731,5437,912,-13983,-1510,-3615,-894,4851,1284,-15861,-1704,-3893,-1077,3970,2129,-17551,-1848,-4014,-1273,2856,3333,-19072,-1900,-3940,-1430,1571,4810,-20441,-1688,-3619,-1489,357,6047,-21624,-1323,-3107,-1457,-612,6807,-22000,-1021,-2531,-1359,-1499,7211,-22089,-843,-1942,-1213,-2414,7691,-21973,-689,-1316,-982,-3208,8150,-21510,-465,-632,-670,-3812,8408,-20760,-119,112,-325,-4168,8237,-19657,328,895,11,-4288,7541,-18207,795,1675,293,-4104,6520,-16392,1191,2381,511,-3610,5331,-14300,1469,2946,682,-2771,4051,-12118,1643,3339,757,-1672,2660,-10087,1679,3556,698,-415,1594,-7882,1493,3555,545,822,1143,-5905,1256,3341,374,1855,1231,-4913,1082,3015,255,1995,1578,-5168,1021,2890,274,2113,1800,-4807,1141,2804,448,3503,1444,-5098,1300,2383,421,4119,971,-4820,1268,1812,286,4970,589,-4234,963,1090,161,5396,479,-4433,647,374,103,5649,504,-5340,473,-345,39,5759,483,-6586,369,-1063,-45,5759,448,-7927,194,-1757,-136,5769,554,-9550,-110,-2410,-237,5648,860,-11618,-426,-2994,-290,5235,946,-13733,-699,-3486,-365,4582,1047,-15636,-941,-3830,-483
